,NEIBORHOOD GROUP,CLASS,SALE PRICE
1206,Manhattan,R,3716612
1207,Manhattan,R,4607581
1208,Manhattan,R,9673375
1209,Manhattan,R,6771362
1210,Manhattan,R,4444661
1211,Manhattan,R,4648311
1212,Manhattan,R,8900000
1213,Manhattan,R,6975012
1214,Manhattan,R,4638128
1215,Manhattan,R,4689041
1216,Manhattan,R,9877025
1217,Manhattan,R,7178662
1218,Manhattan,R,5391633
1219,Manhattan,R,4831596
1220,Manhattan,R,9745200
1221,Manhattan,R,7129575
1222,Manhattan,R,4566851
1223,Manhattan,R,5075976
1224,Manhattan,R,7150000
1225,Manhattan,R,4760318
1226,Manhattan,R,5116706
1227,Manhattan,R,6022948
1228,Manhattan,R,5462911
1229,Manhattan,R,12982687
1230,Manhattan,R,8146000
1231,Manhattan,R,5294900
1232,Manhattan,R,13084512
1233,Manhattan,R,5345812
1234,Manhattan,R,13186337
1235,Manhattan,R,8527106
1236,Manhattan,R,5193075
1237,Manhattan,R,8400000
1238,Manhattan,R,5600375
1239,Manhattan,R,8349650
1240,Manhattan,R,5854937
1241,Manhattan,R,6118000
1242,Manhattan,R,8563500
1243,Manhattan,R,5600375
1244,Manhattan,R,8604212
1245,Manhattan,R,6567712
1246,Manhattan,R,13500000
1247,Manhattan,R,8400125
1248,Manhattan,R,6313150
1249,Manhattan,R,13600000
1250,Manhattan,R,6670000
1251,Manhattan,R,19975437
1252,Manhattan,R,15843262
1253,Manhattan,R,17210250
1254,Manhattan,R,13720918
1255,Manhattan,R,18429688
1256,Manhattan,R,30000000
1257,Manhattan,R,26626267
1258,Manhattan,R,2138325
1259,Manhattan,R,3054750
1260,Manhattan,R,3400000
1261,Manhattan,R,1790000
1262,Manhattan,R,2150000
1263,Manhattan,R,2000000
1264,Manhattan,R,2875000
1265,Manhattan,R,1250000
1266,Manhattan,R,1295000
1267,Manhattan,R,1585000
1268,Manhattan,R,6520000
1270,Manhattan,R,3500000
1271,Manhattan,R,3475000
1272,Manhattan,R,4200000
1273,Manhattan,R,5250000
1280,Manhattan,R,2200000
1281,Manhattan,R,2575000
1282,Manhattan,R,2900000
1283,Manhattan,R,2945000
1284,Manhattan,R,2990000
1285,Manhattan,R,2600000
1286,Manhattan,R,3350000
1287,Manhattan,R,2550000
1289,Manhattan,R,2860000
1290,Manhattan,R,2985000
1291,Manhattan,R,2800000
1292,Manhattan,R,2498000
1293,Manhattan,R,2525000
1294,Manhattan,R,1225000
1296,Manhattan,R,8100000
1298,Manhattan,R,2550000
1299,Manhattan,R,3250000
1300,Manhattan,R,1050000
1301,Manhattan,R,900000
1302,Manhattan,R,946973
1304,Manhattan,R,2945000
1307,Manhattan,R,1525000
1308,Manhattan,R,2750000
1309,Manhattan,R,3195000
1311,Manhattan,R,4500000
1312,Manhattan,R,1550000
1313,Manhattan,R,5297445
1314,Manhattan,R,6139457
1315,Manhattan,R,3309312
1316,Manhattan,R,7214083
1317,Manhattan,R,1431529
1318,Manhattan,R,1942390
1319,Manhattan,R,3682307
1320,Manhattan,R,2835020
1321,Manhattan,R,6747584
1322,Manhattan,R,5216033
1323,Manhattan,R,3936432
1324,Manhattan,R,1871799
1325,Manhattan,R,7052937
1326,Manhattan,R,4908960
1327,Manhattan,R,6849337
1328,Manhattan,R,6391080
1329,Manhattan,R,3250000
1330,Manhattan,R,8399689
1331,Manhattan,R,6350000
1332,Manhattan,R,7207711
1333,Manhattan,R,8429428
1334,Manhattan,R,6595000
1335,Manhattan,R,5163328
1336,Manhattan,R,4939090
1337,Manhattan,R,5163139
1338,Manhattan,R,6486932
1339,Manhattan,R,6537781
1340,Manhattan,R,5366862
1341,Manhattan,R,4625000
1342,Manhattan,R,5430045
1343,Manhattan,R,4675000
1344,Manhattan,R,5650000
1345,Manhattan,R,5468836
1346,Manhattan,R,5519731
1347,Manhattan,R,5570666
1348,Manhattan,R,6792142
1349,Manhattan,R,5671655
1350,Manhattan,R,5722747
1351,Manhattan,R,5977134
1352,Manhattan,R,5824576
1353,Manhattan,R,4648335
1354,Manhattan,R,5671492
1355,Manhattan,R,5005150
1356,Manhattan,R,6257282
1357,Manhattan,R,7300851
1358,Manhattan,R,4495897
1359,Manhattan,R,2333250
1360,Manhattan,R,5055682
1361,Manhattan,R,9222591
1362,Manhattan,R,7550000
1363,Manhattan,R,6939261
1364,Manhattan,R,9221938
1365,Manhattan,R,7458313
1366,Manhattan,R,10978315
1367,Manhattan,R,6941467
1368,Manhattan,R,7358124
1369,Manhattan,R,4238965
1370,Manhattan,R,12251134
1371,Manhattan,R,7916446
1372,Manhattan,R,4828853
